Molecule 1,Molecule 2,Distance
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_69_nH,200.0
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_6_nH,200.0
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_70_nH,200.0
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_71_nH,200.0
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_72_nH,200.0
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_73_nH,200.0
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_74_nH,200.0
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_75_nH,200.0
CRW_5S_B_Ac_30_nH,CRW_5S_B_P_76_nH,200.0
CRW_5S_B_Ac_30_nH,CRW_5S_B_Te_31_nH,1200.0
CRW_5S_B_Ac_30_nH,CRW_5S_B_Te_32_nH,1000.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_Ac_4_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_Ac_7_nH,200.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_Ac_8_nH,200.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_B_18_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_Cy_51_nH,200.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_13_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_14_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_15_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_53_nH,200.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_54_nH,200.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_55_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_D_56_nH,200.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_11_nH,400.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_22_nH,400.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_23_nH,400.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_24_nH,400.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_25_nH,400.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_49_nH,400.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_F_50_nH,600.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_10_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_12_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_16_nH,400.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_17_nH,0.0
CRW_5S_B_Ac_44_nH,CRW_5S_B_P_19_nH,0.0
